signal_date,rules_version,sym,panels,n_panels,take,size,close,move,target_ref,ext9,cmf20,trend,pullback,qqq_above_50d,breadth_above_50d,spy_close,logged_at
2026-09-25,v1-2026-09-26,BUG,Weekly Pick,1,0,FULL,44.7100,1.5812,47.0818,-1.1126,0.2101,UPTREND,MIXED,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,CRM,Golden Cross,1,0,FULL,234.0200,8.9248,247.4072,-2.2560,-0.3240,UPTREND; PULLING BACK,DISTRIBUTION,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,INTC,Weekly Pick,1,0,FULL,123.0000,6.2633,132.3950,5.2711,0.2009,UPTREND,MIXED,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,META,Golden Cross,1,0,FULL,751.6600,27.1941,792.4512,4.2825,0.0304,UPTREND,DISTRIBUTION,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,MSFT,Golden Cross,1,0,FULL,516.1700,11.7749,533.8323,2.8964,0.0575,UPTREND,NO PULLBACK,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,NOW,Golden Cross,1,0,FULL,135.6200,5.8687,144.4231,-1.4159,-0.0870,UPTREND; PULLING BACK,SLIGHT PULLBACK,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,PLTR,Golden Cross,1,0,FULL,189.6700,6.8815,199.9923,2.8902,0.1107,UPTREND,SLIGHT PULLBACK,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,QCOM,Golden Cross,1,0,FULL,201.9700,8.6581,214.9571,5.1995,0.0188,UPTREND,NO PULLBACK,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,SPOT,Golden Cross,1,0,FULL,510.0100,19.0925,538.6488,-1.5016,-0.1600,UNDER PRESSURE,DISTRIBUTION,1,0.539,771.35,2026-09-26T06:23:25.547Z
2026-09-25,v1-2026-09-26,ZS,Golden Cross,1,0,IGNORE,193.0500,10.2870,208.4805,-3.4985,0.1231,UPTREND,DISTRIBUTION,1,0.539,771.35,2026-09-26T06:23:25.547Z
